id,source,source_id,image_path,image_url,artist,style,genre,emotion,description,composition,color_harmony,contrast,lighting,perspective,critique_notes,split
ACD_000024,wikiart,Pop_Art/george-segal_caf-still-life-with-bow-tie-braque-1986.jpg,data/processed/wikiart_subset/images/ACD_000024.jpg,,George Segal,Pop Art,Pop Art; Cubism,,caf still life with bow tie braque 1986,,,,,,,train
ACD_000025,wikiart,Baroque/jacob-jordaens_suzanna-and-the-elders.jpg,data/processed/wikiart_subset/images/ACD_000025.jpg,,Jacob Jordaens,Baroque,Baroque,,suzanna and the elders,,,,,,,train
ACD_000026,wikiart,Synthetic_Cubism/georges-braque_violin-and-glass.jpg,data/processed/wikiart_subset/images/ACD_000026.jpg,,Georges Braque,Synthetic Cubism,Synthetic Cubism,,violin and glass,,,,,,,train
ACD_000027,wikiart,Symbolism/nicholas-roerich_krishna-lel-1.jpg,data/processed/wikiart_subset/images/ACD_000027.jpg,,Nicholas Roerich,Symbolism,Symbolism,,krishna lel 1,,,,,,,train
ACD_000028,wikiart,High_Renaissance/leonardo-da-vinci_a-seated-man-and-studies-and-notes-on-the-movement-of-water.jpg,data/processed/wikiart_subset/images/ACD_000028.jpg,,Leonardo Da Vinci,High Renaissance,High Renaissance,,a seated man and studies and notes on the movement of water,,,,,,,train
ACD_000029,wikiart,Color_Field_Painting/gene-davis_flower-machine-1964.jpg,data/processed/wikiart_subset/images/ACD_000029.jpg,,Gene Davis,Color Field Painting,Color Field Painting,,flower machine 1964,,,,,,,train
ACD_000030,wikiart,Pointillism/georges-vantongerloo_a-seated-lady.jpg,data/processed/wikiart_subset/images/ACD_000030.jpg,,Georges Vantongerloo,Pointillism,Pointillism,,a seated lady,,,,,,,train
ACD_000031,wikiart,Ukiyo_e/hiroshige_snow-dawn-at-susaki-1843.jpg,data/processed/wikiart_subset/images/ACD_000031.jpg,,Hiroshige,Ukiyo E,Ukiyo e,,snow dawn at susaki 1843,,,,,,,train
ACD_000032,wikiart,Pointillism/theo-van-rysselberghe_port-de-cette.jpg,data/processed/wikiart_subset/images/ACD_000032.jpg,,Theo Van Rysselberghe,Pointillism,Pointillism,,port de cette,,,,,,,train
ACD_000033,wikiart,Symbolism/gustave-moreau_the-sphinx-1864.jpg,data/processed/wikiart_subset/images/ACD_000033.jpg,,Gustave Moreau,Symbolism,Symbolism,,the sphinx 1864,,,,,,,train
ACD_000034,wikiart,Expressionism/lucian-freud_annabel-and-rattler.jpg,data/processed/wikiart_subset/images/ACD_000034.jpg,,Lucian Freud,Expressionism,Expressionism,,annabel and rattler,,,,,,,train
ACD_000035,wikiart,Abstract_Expressionism/sam-francis_untitled-1964-3.jpg,data/processed/wikiart_subset/images/ACD_000035.jpg,,Sam Francis,Abstract Expressionism,Abstract Expressionism,,untitled 1964 3,,,,,,,train
ACD_000036,wikiart,Pointillism/camille-pissarro_haymakers-resting-1891.jpg,data/processed/wikiart_subset/images/ACD_000036.jpg,,Camille Pissarro,Pointillism,Pointillism,,haymakers resting 1891,,,,,,,train
ACD_000037,wikiart,Rococo/antoine-watteau_peaceful-love.jpg,data/processed/wikiart_subset/images/ACD_000037.jpg,,Antoine Watteau,Rococo,Rococo,,peaceful love,,,,,,,train
ACD_000038,wikiart,Art_Nouveau_Modern/ferdinand-hodler_at-the-foot-of-the-petit-saleve-1893.jpg,data/processed/wikiart_subset/images/ACD_000038.jpg,,Ferdinand Hodler,Art Nouveau Modern,Art Nouveau Modern,,at the foot of the petit saleve 1893,,,,,,,train
ACD_000039,wikiart,High_Renaissance/giovanni-bellini_leonardo-loredan.jpg,data/processed/wikiart_subset/images/ACD_000039.jpg,,Giovanni Bellini,High Renaissance,High Renaissance,,leonardo loredan,,,,,,,train
ACD_000040,wikiart,Art_Nouveau_Modern/zinaida-serebriakova_katya-1923.jpg,data/processed/wikiart_subset/images/ACD_000040.jpg,,Zinaida Serebriakova,Art Nouveau Modern,Art Nouveau Modern,,katya 1923,,,,,,,train
ACD_000041,wikiart,Realism/john-singer-sargent_an-interior-in-venice-1899.jpg,data/processed/wikiart_subset/images/ACD_000041.jpg,,John Singer Sargent,Realism,Realism,,an interior in venice 1899,,,,,,,train
ACD_000042,wikiart,Color_Field_Painting/gene-davis_night-rider-1983.jpg,data/processed/wikiart_subset/images/ACD_000042.jpg,,Gene Davis,Color Field Painting,Color Field Painting,,night rider 1983,,,,,,,train
ACD_000043,wikiart,Ukiyo_e/utagawa-kuniyoshi_caulking-boats.jpg,data/processed/wikiart_subset/images/ACD_000043.jpg,,Utagawa Kuniyoshi,Ukiyo E,Ukiyo e,,caulking boats,,,,,,,train
ACD_000044,wikiart,Fauvism/august-macke_turkish-cafe-ii.jpg,data/processed/wikiart_subset/images/ACD_000044.jpg,,August Macke,Fauvism,Fauvism,,turkish cafe ii,,,,,,,train
ACD_000045,wikiart,Action_painting/franz-kline_cardinal-1950.jpg,data/processed/wikiart_subset/images/ACD_000045.jpg,,Franz Kline,Action Painting,Action painting,,cardinal 1950,,,,,,,train
ACD_000046,wikiart,Baroque/alonzo-cano_eve-1666.jpg,data/processed/wikiart_subset/images/ACD_000046.jpg,,Alonzo Cano,Baroque,Baroque,,eve 1666,,,,,,,train
ACD_000047,wikiart,Abstract_Expressionism/brice-marden_st-barts-1-1991.jpg,data/processed/wikiart_subset/images/ACD_000047.jpg,,Brice Marden,Abstract Expressionism,Abstract Expressionism,,st barts 1 1991,,,,,,,train
ACD_000048,wikiart,Abstract_Expressionism/pat-lipsky_homage-to-david-smith-1980.jpg,data/processed/wikiart_subset/images/ACD_000048.jpg,,Pat Lipsky,Abstract Expressionism,Abstract Expressionism,,homage to david smith 1980,,,,,,,train
ACD_000049,wikiart,Romanticism/gustave-dore_all-dwellings-else-flood-overwhelmed-and-them-with-all-their-pomp-deep-under-water-rolled.jpg,data/processed/wikiart_subset/images/ACD_000049.jpg,,Gustave Dore,Romanticism,Romanticism,,all dwellings else flood overwhelmed and them with all their pomp deep under water rolled,,,,,,,train
ACD_000050,wikiart,Action_painting/franz-kline_accent-grave-1955.jpg,data/processed/wikiart_subset/images/ACD_000050.jpg,,Franz Kline,Action Painting,Action painting,,accent grave 1955,,,,,,,train
ACD_000051,wikiart,Baroque/frans-hals_vincent-laurensz-van-der-vinne.jpg,data/processed/wikiart_subset/images/ACD_000051.jpg,,Frans Hals,Baroque,Baroque,,vincent laurensz van der vinne,,,,,,,train
ACD_000052,wikiart,Fauvism/andre-derain_figures-from-a-carnival.jpg,data/processed/wikiart_subset/images/ACD_000052.jpg,,Andre Derain,Fauvism,Fauvism,,figures from a carnival,,,,,,,train
ACD_000053,wikiart,Cubism/pyotr-konchalovsky_a-tree-1916.jpg,data/processed/wikiart_subset/images/ACD_000053.jpg,,Pyotr Konchalovsky,Cubism,Cubism,,a tree 1916,,,,,,,train
ACD_000054,wikiart,Rococo/joshua-reynolds_georgiana-duchess-of-devonshire-with-her-infant-daughter-lady-georgiana-cavendish.jpg,data/processed/wikiart_subset/images/ACD_000054.jpg,,Joshua Reynolds,Rococo,Rococo,,georgiana duchess of devonshire with her infant daughter lady georgiana cavendish,,,,,,,train
ACD_000055,wikiart,Fauvism/mario-zanini_marinha-com-barcos.jpg,data/processed/wikiart_subset/images/ACD_000055.jpg,,Mario Zanini,Fauvism,Fauvism,,marinha com barcos,,,,,,,train
ACD_000056,wikiart,Art_Nouveau_Modern/raphael-kirchner_vivienne-segal.jpg,data/processed/wikiart_subset/images/ACD_000056.jpg,,Raphael Kirchner,Art Nouveau Modern,Art Nouveau Modern,,vivienne segal,,,,,,,train
ACD_000057,wikiart,Early_Renaissance/carlo-crivelli_annunciation-with-saint-emidius-1486.jpg,data/processed/wikiart_subset/images/ACD_000057.jpg,,Carlo Crivelli,Early Renaissance,Early Renaissance,,annunciation with saint emidius 1486,,,,,,,train
ACD_000058,wikiart,Action_painting/jackson-pollock_eyes-in-the-heat-1946(2).jpg,data/processed/wikiart_subset/images/ACD_000058.jpg,,Jackson Pollock,Action Painting,Action painting,,eyes in the heat 1946(2),,,,,,,train
ACD_000059,wikiart,High_Renaissance/dosso-dossi_lamentation-over-the-body-of-christ-1517.jpg,data/processed/wikiart_subset/images/ACD_000059.jpg,,Dosso Dossi,High Renaissance,High Renaissance,,lamentation over the body of christ 1517,,,,,,,train
ACD_000060,wikiart,Baroque/jacob-jordaens_satyr-and-peasant-1621.jpg,data/processed/wikiart_subset/images/ACD_000060.jpg,,Jacob Jordaens,Baroque,Baroque,,satyr and peasant 1621,,,,,,,train
ACD_000061,wikiart,Realism/thomas-eakins_head-of-a-warrior.jpg,data/processed/wikiart_subset/images/ACD_000061.jpg,,Thomas Eakins,Realism,Realism,,head of a warrior,,,,,,,train
ACD_000062,wikiart,Minimalism/yves-gaucher_untitled-yellow-1966.jpg,data/processed/wikiart_subset/images/ACD_000062.jpg,,Yves Gaucher,Minimalism,Minimalism,,untitled yellow 1966,,,,,,,train
ACD_000063,wikiart,Northern_Renaissance/hieronymus-bosch_the-ship-of-fools-in-flames.jpg,data/processed/wikiart_subset/images/ACD_000063.jpg,,Hieronymus Bosch,Northern Renaissance,Northern Renaissance,,the ship of fools in flames,,,,,,,train
ACD_000064,wikiart,Ukiyo_e/utagawa-kuniyoshi_women-10.jpg,data/processed/wikiart_subset/images/ACD_000064.jpg,,Utagawa Kuniyoshi,Ukiyo E,Ukiyo e,,women 10,,,,,,,train
ACD_000065,wikiart,Baroque/bartolome-esteban-murillo_angel-holding-a-hammer-and-nails-1660.jpg,data/processed/wikiart_subset/images/ACD_000065.jpg,,Bartolome Esteban Murillo,Baroque,Baroque,,angel holding a hammer and nails 1660,,,,,,,train
ACD_000066,wikiart,Analytical_Cubism/pablo-picasso_woman-and-pears-fernande-1909.jpg,data/processed/wikiart_subset/images/ACD_000066.jpg,,Pablo Picasso,Analytical Cubism,Analytical Cubism,,woman and pears fernande 1909,,,,,,,train
ACD_000067,wikiart,Synthetic_Cubism/pablo-picasso_still-life-with-violin-and-fruits-1912.jpg,data/processed/wikiart_subset/images/ACD_000067.jpg,,Pablo Picasso,Synthetic Cubism,Synthetic Cubism,,still life with violin and fruits 1912,,,,,,,train
ACD_000068,wikiart,Analytical_Cubism/pablo-picasso_the-aficionado-the-torero-1912.jpg,data/processed/wikiart_subset/images/ACD_000068.jpg,,Pablo Picasso,Analytical Cubism,Analytical Cubism,,the aficionado the torero 1912,,,,,,,train
ACD_000069,wikiart,Mannerism_Late_Renaissance/agnolo-bronzino_portrait-of-laudomia-de-medici.jpg,data/processed/wikiart_subset/images/ACD_000069.jpg,,Agnolo Bronzino,Mannerism Late Renaissance,Mannerism Late Renaissance,,portrait of laudomia de medici,,,,,,,train
ACD_000070,wikiart,Realism/anders-zorn_ernest-cassel-1886.jpg,data/processed/wikiart_subset/images/ACD_000070.jpg,,Anders Zorn,Realism,Realism,,ernest cassel 1886,,,,,,,train
ACD_000071,wikiart,Pop_Art/andy-warhol_ingrid-bergman-as-herself.jpg,data/processed/wikiart_subset/images/ACD_000071.jpg,,Andy Warhol,Pop Art,Pop Art,,ingrid bergman as herself,,,,,,,train
ACD_000072,wikiart,Pointillism/camille-pissarro_young-peasant-at-her-toilette-1888.jpg,data/processed/wikiart_subset/images/ACD_000072.jpg,,Camille Pissarro,Pointillism,Pointillism,,young peasant at her toilette 1888,,,,,,,train
ACD_000073,wikiart,Naive_Art_Primitivism/maria-primachenko_long-necked-and-itching-1977.jpg,data/processed/wikiart_subset/images/ACD_000073.jpg,,Maria Primachenko,Naive Art Primitivism,Naive Art Primitivism,,long necked and itching 1977,,,,,,,train
ACD_000074,wikiart,New_Realism/john-french-sloan_young-woman-in-black-and-white-mary-kerr-1902.jpg,data/processed/wikiart_subset/images/ACD_000074.jpg,,John French Sloan,New Realism,New Realism,,young woman in black and white mary kerr 1902,,,,,,,train
ACD_000075,wikiart,Northern_Renaissance/hans-memling_st-john-and-veronica-diptych-reverse-of-the-left-wing.jpg,data/processed/wikiart_subset/images/ACD_000075.jpg,,Hans Memling,Northern Renaissance,Northern Renaissance,,st john and veronica diptych reverse of the left wing,,,,,,,train
ACD_000076,wikiart,New_Realism/edward-hopper_apartment-houses.jpg,data/processed/wikiart_subset/images/ACD_000076.jpg,,Edward Hopper,New Realism,New Realism,,apartment houses,,,,,,,train
ACD_000077,wikiart,Minimalism/dadamaino_il-mondo-di-platone-1981.jpg,data/processed/wikiart_subset/images/ACD_000077.jpg,,Dadamaino,Minimalism,Minimalism,,il mondo di platone 1981,,,,,,,train
ACD_000078,wikiart,Art_Nouveau_Modern/jozsef-rippl-ronai_busy-city-scene-1914.jpg,data/processed/wikiart_subset/images/ACD_000078.jpg,,Jozsef Rippl Ronai,Art Nouveau Modern,Art Nouveau Modern,,busy city scene 1914,,,,,,,train
ACD_000079,wikiart,Synthetic_Cubism/juan-gris_the-coffee-grinder-1916.jpg,data/processed/wikiart_subset/images/ACD_000079.jpg,,Juan Gris,Synthetic Cubism,Synthetic Cubism,,the coffee grinder 1916,,,,,,,train
ACD_000080,wikiart,Synthetic_Cubism/georges-braque_glass-pipe-and-newspaper-1917.jpg,data/processed/wikiart_subset/images/ACD_000080.jpg,,Georges Braque,Synthetic Cubism,Synthetic Cubism,,glass pipe and newspaper 1917,,,,,,,train
ACD_000081,wikiart,Early_Renaissance/giovanni-bellini_madonna-with-child-standing-on-a-parapet.jpg,data/processed/wikiart_subset/images/ACD_000081.jpg,,Giovanni Bellini,Early Renaissance,Early Renaissance,,madonna with child standing on a parapet,,,,,,,train
ACD_000082,wikiart,Baroque/rembrandt_man-in-a-golden-helmet-1669.jpg,data/processed/wikiart_subset/images/ACD_000082.jpg,,Rembrandt,Baroque,Baroque,,man in a golden helmet 1669,,,,,,,train
ACD_000083,wikiart,Ukiyo_e/katsushika-hokusai_sparrow-and-magnolia.jpg,data/processed/wikiart_subset/images/ACD_000083.jpg,,Katsushika Hokusai,Ukiyo E,Ukiyo e,,sparrow and magnolia,,,,,,,train
ACD_000084,wikiart,Expressionism/ernst-ludwig-kirchner_mary-wigman-s-dance-of-the-dead-1928.jpg,data/processed/wikiart_subset/images/ACD_000084.jpg,,Ernst Ludwig Kirchner,Expressionism,Expressionism,,mary wigman s dance of the dead 1928,,,,,,,train
ACD_000085,wikiart,Northern_Renaissance/lucas-cranach-the-elder_johannes-bugenhagen-1532.jpg,data/processed/wikiart_subset/images/ACD_000085.jpg,,Lucas Cranach The Elder,Northern Renaissance,Northern Renaissance,,johannes bugenhagen 1532,,,,,,,train
ACD_000086,wikiart,Color_Field_Painting/ion-nicodim_unknown-title-30.jpg,data/processed/wikiart_subset/images/ACD_000086.jpg,,Ion Nicodim,Color Field Painting,Color Field Painting,,unknown title 30,,,,,,,train
ACD_000087,wikiart,Fauvism/janos-mattis-teutsch_landscape-1917(1).jpg,data/processed/wikiart_subset/images/ACD_000087.jpg,,Janos Mattis Teutsch,Fauvism,Fauvism,,landscape 1917(1),,,,,,,train
ACD_000088,wikiart,Romanticism/francisco-goya_truth-has-died-1814.jpg,data/processed/wikiart_subset/images/ACD_000088.jpg,,Francisco Goya,Romanticism,Romanticism,,truth has died 1814,,,,,,,train
ACD_000089,wikiart,Northern_Renaissance/pieter-bruegel-the-elder_landscape-with-the-flight-into-egypt-1563.jpg,data/processed/wikiart_subset/images/ACD_000089.jpg,,Pieter Bruegel The Elder,Northern Renaissance,Northern Renaissance,,landscape with the flight into egypt 1563,,,,,,,train
ACD_000090,wikiart,Naive_Art_Primitivism/marc-chagall_bride-with-a-fan-1911.jpg,data/processed/wikiart_subset/images/ACD_000090.jpg,,Marc Chagall,Naive Art Primitivism,Naive Art Primitivism,,bride with a fan 1911,,,,,,,train
ACD_000091,wikiart,Realism/nikolai-ge_portrait-of-the-artist-s-wife-anna-ge.jpg,data/processed/wikiart_subset/images/ACD_000091.jpg,,Nikolai Ge,Realism,Realism,,portrait of the artist s wife anna ge,,,,,,,train
ACD_000092,wikiart,Ukiyo_e/utagawa-sadatora_fashionable-seven-autumn-plants-1.jpg,data/processed/wikiart_subset/images/ACD_000092.jpg,,Utagawa Sadatora,Ukiyo E,Ukiyo e,,fashionable seven autumn plants 1,,,,,,,train
ACD_000093,wikiart,Post_Impressionism/pyotr-konchalovsky_paris-innkeeper-1908.jpg,data/processed/wikiart_subset/images/ACD_000093.jpg,,Pyotr Konchalovsky,Post Impressionism,Post Impressionism,,paris innkeeper 1908,,,,,,,train
ACD_000094,wikiart,Pointillism/samuel-mutzner_peisaj-din-giverny-1908.jpg,data/processed/wikiart_subset/images/ACD_000094.jpg,,Samuel Mutzner,Pointillism,Pointillism,,peisaj din giverny 1908,,,,,,,train
ACD_000095,wikiart,Romanticism/orest-kiprensky_view-of-mount-vesuvius-in-winter-1830.jpg,data/processed/wikiart_subset/images/ACD_000095.jpg,,Orest Kiprensky,Romanticism,Romanticism,,view of mount vesuvius in winter 1830,,,,,,,train
ACD_000096,wikiart,Pop_Art/lourdes-castro_auto-retrato-1965.jpg,data/processed/wikiart_subset/images/ACD_000096.jpg,,Lourdes Castro,Pop Art,Pop Art,,auto retrato 1965,,,,,,,train
ACD_000097,wikiart,Baroque/francesco-solimena_st-bonaventura-receiving-the-banner-of-st-sepulchre-from-the-madonna.jpg,data/processed/wikiart_subset/images/ACD_000097.jpg,,Francesco Solimena,Baroque,Baroque,,st bonaventura receiving the banner of st sepulchre from the madonna,,,,,,,train
ACD_000098,wikiart,Baroque/rembrandt_nude-man-seated-on-the-ground-with-one-leg-extended-1646.jpg,data/processed/wikiart_subset/images/ACD_000098.jpg,,Rembrandt,Baroque,Baroque,,nude man seated on the ground with one leg extended 1646,,,,,,,train
ACD_000099,wikiart,Symbolism/william-blake_illustration-to-milton-s-on-the-morning-of-christ-s-nativity-1809.jpg,data/processed/wikiart_subset/images/ACD_000099.jpg,,William Blake,Symbolism,Symbolism,,illustration to milton s on the morning of christ s nativity 1809,,,,,,,train
ACD_000100,wikiart,Abstract_Expressionism/bradley-walker-tomlin_number-20-1949-1.jpg,data/processed/wikiart_subset/images/ACD_000100.jpg,,Bradley Walker Tomlin,Abstract Expressionism,Abstract Expressionism,,number 20 1949 1,,,,,,,train
ACD_000101,wikiart,Mannerism_Late_Renaissance/sofonisba-anguissola_portrait-of-bianca-ponzoni-anguissola-the-artist-s-mother-1557.jpg,data/processed/wikiart_subset/images/ACD_000101.jpg,,Sofonisba Anguissola,Mannerism Late Renaissance,Mannerism Late Renaissance,,portrait of bianca ponzoni anguissola the artist s mother 1557,,,,,,,train
ACD_000102,wikiart,Symbolism/nicholas-roerich_monhigan-study-1922-26.jpg,data/processed/wikiart_subset/images/ACD_000102.jpg,,Nicholas Roerich,Symbolism,Symbolism,,monhigan study 1922 26,,,,,,,train
ACD_000103,wikiart,Action_painting/franz-kline_torches-mauve-1960.jpg,data/processed/wikiart_subset/images/ACD_000103.jpg,,Franz Kline,Action Painting,Action painting,,torches mauve 1960,,,,,,,train
ACD_000104,wikiart,Northern_Renaissance/rogier-van-der-weyden_christ-on-the-cross.jpg,data/processed/wikiart_subset/images/ACD_000104.jpg,,Rogier Van Der Weyden,Northern Renaissance,Northern Renaissance,,christ on the cross,,,,,,,train
ACD_000105,wikiart,Pointillism/theo-van-rysselberghe_a-reading-in-the-garden-1902.jpg,data/processed/wikiart_subset/images/ACD_000105.jpg,,Theo Van Rysselberghe,Pointillism,Pointillism,,a reading in the garden 1902,,,,,,,train
ACD_000106,wikiart,Art_Nouveau_Modern/leon-bakst_portrait-of-jean-cocteau.jpg,data/processed/wikiart_subset/images/ACD_000106.jpg,,Leon Bakst,Art Nouveau Modern,Art Nouveau Modern,,portrait of jean cocteau,,,,,,,train
ACD_000107,wikiart,New_Realism/michael-bell_room-service-2008.jpg,data/processed/wikiart_subset/images/ACD_000107.jpg,,Michael Bell,New Realism,New Realism,,room service 2008,,,,,,,train
ACD_000108,wikiart,Impressionism/william-merritt-chase_dorothy-and-her-sister.jpg,data/processed/wikiart_subset/images/ACD_000108.jpg,,William Merritt Chase,Impressionism,Impressionism,,dorothy and her sister,,,,,,,train
ACD_000109,wikiart,Pointillism/georges-seurat_portrait-of-paul-signac-1890.jpg,data/processed/wikiart_subset/images/ACD_000109.jpg,,Georges Seurat,Pointillism,Pointillism,,portrait of paul signac 1890,,,,,,,train
ACD_000110,wikiart,Cubism/jean-metzinger_femme-assise-en-robe-bleue-1950.jpg,data/processed/wikiart_subset/images/ACD_000110.jpg,,Jean Metzinger,Cubism,Cubism,,femme assise en robe bleue 1950,,,,,,,train
ACD_000111,wikiart,Cubism/pablo-picasso_guitar-bottle-and-fruit-bowl-1921.jpg,data/processed/wikiart_subset/images/ACD_000111.jpg,,Pablo Picasso,Cubism,Cubism,,guitar bottle and fruit bowl 1921,,,,,,,train
ACD_000112,wikiart,Romanticism/osman-hamdi_two-young-girls-visiting-a-shrine-1890.jpg,data/processed/wikiart_subset/images/ACD_000112.jpg,,Osman Hamdi,Romanticism,Romanticism,,two young girls visiting a shrine 1890,,,,,,,train
ACD_000113,wikiart,Pointillism/pablo-picasso_the-happy-family.jpg,data/processed/wikiart_subset/images/ACD_000113.jpg,,Pablo Picasso,Pointillism,Pointillism,,the happy family,,,,,,,train
ACD_000114,wikiart,Action_painting/norman-bluhm_mathematics-1962.jpg,data/processed/wikiart_subset/images/ACD_000114.jpg,,Norman Bluhm,Action Painting,Action painting,,mathematics 1962,,,,,,,train
ACD_000115,wikiart,Synthetic_Cubism/juan-gris_guitar-on-a-table-1915.jpg,data/processed/wikiart_subset/images/ACD_000115.jpg,,Juan Gris,Synthetic Cubism,Synthetic Cubism,,guitar on a table 1915,,,,,,,train
ACD_000116,wikiart,Naive_Art_Primitivism/joan-miro_house-with-palm-tree.jpg,data/processed/wikiart_subset/images/ACD_000116.jpg,,Joan Miro,Naive Art Primitivism,Naive Art Primitivism,,house with palm tree,,,,,,,train
ACD_000117,wikiart,Mannerism_Late_Renaissance/lavinia-fontana_portrait-of-a-lady-of-the-court-1590.jpg,data/processed/wikiart_subset/images/ACD_000117.jpg,,Lavinia Fontana,Mannerism Late Renaissance,Mannerism Late Renaissance,,portrait of a lady of the court 1590,,,,,,,train
